project_id,work_name,work_type,category,district_id,state_id,constituency_id,contractor_id,agency_id,recommendation_date,sanction_date,target_completion_date,status,project_latitude,project_longitude
MPLADS-000035,Maternity Ward Facility at Ward-36,Maternity Ward Facility,Public Health,DIST-0028,ST-01,PC-0040,CONT-0107,AGENCY-0445,2023-03-05,2023-04-21,2023-11-17,COMPLETED,27.88892,83.5499
MPLADS-000036,Major River Overbridge at Ward-55,Major River Overbridge,Mega Infrastructure,DIST-0099,ST-02,PC-0142,CONT-0229,AGENCY-0828,2022-11-24,2023-01-06,2024-02-10,WORK_IN_PROGRESS,18.54888,74.0447
MPLADS-000037,Maternity Ward Facility at Ward-85,Maternity Ward Facility,Public Health,DIST-0398,ST-10,PC-0577,CONT-0231,AGENCY-0569,2023-04-02,2023-05-06,2023-12-02,COMPLETED,13.71463,84.22424
MPLADS-000038,Lift Irrigation Scheme at Ward-83,Lift Irrigation Scheme,Irrigation & Agriculture,DIST-0379,ST-09,PC-0549,CONT-0027,AGENCY-0053,2022-03-20,2022-05-13,2022-10-20,WORK_IN_PROGRESS,21.21031,68.82134
MPLADS-000039,Solar Street Lighting at Ward-26,Solar Street Lighting,Renewable Energy,DIST-0035,ST-01,PC-0052,CONT-0265,AGENCY-1158,2022-03-21,2022-04-05,2022-06-04,COMPLETED,28.16944,79.03373
MPLADS-000040,District Sports Complex at Ward-85,District Sports Complex,Mega Infrastructure,DIST-0394,ST-10,PC-0570,CONT-0188,AGENCY-1070,2022-08-01,2022-09-20,2023-10-25,WORK_IN_PROGRESS,13.27246,77.66183
MPLADS-000041,Farm Pond Renovation at Ward-72,Farm Pond Renovation,Irrigation & Agriculture,DIST-0188,ST-05,PC-0266,CONT-0277,AGENCY-0965,2022-07-28,2022-09-12,2023-02-19,COMPLETED,26.08449,80.14306
MPLADS-000042,Crematorium Shed at Ward-03,Crematorium Shed,Community Infrastructure,DIST-0496,ST-14,PC-0724,CONT-0107,AGENCY-0559,2022-08-30,2022-10-02,2023-01-30,WORK_IN_PROGRESS,23.64005,85.72386
MPLADS-000043,Major River Overbridge at Ward-90,Major River Overbridge,Mega Infrastructure,DIST-0022,ST-01,PC-0033,CONT-0245,AGENCY-0414,2023-01-23,2023-03-18,2024-04-21,WORK_IN_PROGRESS,30.16119,78.80599
MPLADS-000044,Bituminous Road at Ward-74,Bituminous Road,Roads & Bridges,DIST-0473,ST-13,PC-0689,CONT-0070,AGENCY-1179,2022-04-07,2022-05-27,2022-11-23,WORK_IN_PROGRESS,10.96757,76.95869
MPLADS-000045,Farm Pond Renovation at Ward-30,Farm Pond Renovation,Irrigation & Agriculture,DIST-0338,ST-08,PC-0493,CONT-0199,AGENCY-1162,2023-08-04,2023-09-24,2024-03-02,WORK_IN_PROGRESS,17.57854,76.77927
MPLADS-000046,School Boundary Wall at Ward-79,School Boundary Wall,Education Infrastructure,DIST-0038,ST-01,PC-0056,CONT-0298,AGENCY-1099,2023-02-04,2023-02-20,2023-07-20,WORK_IN_PROGRESS,27.9924,77.66388
MPLADS-000047,Farm Pond Renovation at Ward-32,Farm Pond Renovation,Irrigation & Agriculture,DIST-0438,ST-12,PC-0639,CONT-0089,AGENCY-1155,2023-05-11,2023-06-15,2023-11-22,COMPLETED,17.65553,80.74848
MPLADS-000048,Solar Street Lighting at Ward-72,Solar Street Lighting,Renewable Energy,DIST-0505,ST-14,PC-0736,CONT-0036,AGENCY-0116,2022-10-18,2022-11-23,2023-01-22,WORK_IN_PROGRESS,24.00762,86.38308
MPLADS-000049,Solar Street Lighting at Ward-78,Solar Street Lighting,Renewable Energy,DIST-0300,ST-07,PC-0439,CONT-0038,AGENCY-0210,2023-07-30,2023-09-27,2023-11-26,WORK_IN_PROGRESS,25.07921,73.85702
MPLADS-000050,School Additional Classroom at Ward-80,School Additional Classroom,Education Infrastructure,DIST-0574,ST-17,PC-0846,CONT-0154,AGENCY-0331,2023-03-10,2023-05-03,2023-09-30,WORK_IN_PROGRESS,19.62428,82.6337
MPLADS-000051,Bituminous Road at Ward-90,Bituminous Road,Roads & Bridges,DIST-0150,ST-04,PC-0212,CONT-0117,AGENCY-0948,2023-07-19,2023-09-10,2024-03-08,COMPLETED,22.51537,87.89198
MPLADS-000052,District Sports Complex at Ward-33,District Sports Complex,Mega Infrastructure,DIST-0617,ST-18,PC-0909,CONT-0045,AGENCY-0062,2022-09-29,2022-10-16,2023-11-20,WORK_IN_PROGRESS,29.36573,76.31091
MPLADS-000053,RO Water Plant at Ward-73,RO Water Plant,Drinking Water,DIST-0550,ST-16,PC-0808,CONT-0220,AGENCY-1001,2022-07-13,2022-08-16,2022-11-14,WORK_IN_PROGRESS,31.4251,74.12688
MPLADS-000054,District Sports Complex at Ward-57,District Sports Complex,Mega Infrastructure,DIST-0094,ST-02,PC-0136,CONT-0227,AGENCY-0158,2023-02-06,2023-03-12,2024-04-15,COMPLETED,15.56794,78.89997
MPLADS-000055,Yatri Shed at Ward-91,Yatri Shed,Community Infrastructure,DIST-0405,ST-10,PC-0589,CONT-0157,AGENCY-0232,2022-03-11,2022-04-25,2022-08-23,WORK_IN_PROGRESS,16.88076,81.69313
MPLADS-000056,Maternity Ward Facility at Ward-56,Maternity Ward Facility,Public Health,DIST-0284,ST-07,PC-0416,CONT-0304,AGENCY-1234,2022-11-15,2022-12-16,2023-07-14,WORK_IN_PROGRESS,25.95563,77.79752
MPLADS-000057,Paver Block Road at Ward-40,Paver Block Road,Roads & Bridges,DIST-0145,ST-03,PC-0206,CONT-0286,AGENCY-0463,2023-09-21,2023-10-21,2024-04-18,WORK_IN_PROGRESS,26.18139,84.58804
MPLADS-000058,Ambulance Vehicle at Ward-04,Ambulance Vehicle,Public Health,DIST-0580,ST-17,PC-0857,CONT-0072,AGENCY-0841,2023-06-28,2023-07-19,2024-02-14,WORK_IN_PROGRESS,23.69432,84.12695
MPLADS-000059,Ayurvedic Dispensary at Ward-75,Ayurvedic Dispensary,Public Health,DIST-0502,ST-14,PC-0731,CONT-0171,AGENCY-0567,2023-03-31,2023-05-03,2023-11-29,COMPLETED,24.62629,83.62015
MPLADS-000060,Community Hall at Ward-21,Community Hall,Community Infrastructure,DIST-0003,ST-01,PC-0005,CONT-0182,AGENCY-0217,2023-10-04,2023-10-23,2024-02-20,WORK_IN_PROGRESS,28.09461,82.72701
MPLADS-000061,Crematorium Shed at Ward-11,Crematorium Shed,Community Infrastructure,DIST-0283,ST-07,PC-0414,CONT-0104,AGENCY-1171,2023-05-24,2023-06-11,2023-10-09,WORK_IN_PROGRESS,27.23525,76.21873
MPLADS-000062,School Boundary Wall at Ward-08,School Boundary Wall,Education Infrastructure,DIST-0452,ST-12,PC-0659,CONT-0248,AGENCY-0185,2022-09-04,2022-10-21,2023-03-20,COMPLETED,18.15407,79.47281
MPLADS-000063,Community Tank at Ward-44,Community Tank,Drinking Water,DIST-0375,ST-09,PC-0542,CONT-0009,AGENCY-0561,2023-05-21,2023-06-19,2023-09-17,WORK_IN_PROGRESS,21.53594,71.28635
MPLADS-000064,CC Road Construction at Ward-51,CC Road Construction,Roads & Bridges,DIST-0113,ST-03,PC-0163,CONT-0111,AGENCY-0261,2023-06-24,2023-07-10,2024-01-06,WORK_IN_PROGRESS,26.64687,85.35457
MPLADS-000065,Yatri Shed at Ward-86,Yatri Shed,Community Infrastructure,DIST-0107,ST-02,PC-0152,CONT-0289,AGENCY-0388,2022-07-13,2022-09-08,2023-01-06,WORK_IN_PROGRESS,16.61113,80.00099
MPLADS-000066,Ayurvedic Dispensary at Ward-85,Ayurvedic Dispensary,Public Health,DIST-0274,ST-07,PC-0400,CONT-0230,AGENCY-0430,2023-10-17,2023-12-09,2024-07-06,WORK_IN_PROGRESS,27.58665,74.08287
MPLADS-000067,Ayurvedic Dispensary at Ward-87,Ayurvedic Dispensary,Public Health,DIST-0527,ST-15,PC-0773,CONT-0228,AGENCY-0221,2023-11-30,2023-12-24,2024-07-21,WORK_IN_PROGRESS,25.6917,91.49304
MPLADS-000068,Primary Health Sub-Centre at Ward-51,Primary Health Sub-Centre,Public Health,DIST-0047,ST-01,PC-0069,CONT-0187,AGENCY-0208,2023-09-16,2023-10-20,2024-05-17,COMPLETED,25.57567,78.13003
MPLADS-000069,Solar Rooftop Panel at Ward-12,Solar Rooftop Panel,Renewable Energy,DIST-0497,ST-14,PC-0725,CONT-0117,AGENCY-1014,2023-11-27,2024-01-20,2024-03-20,WORK_IN_PROGRESS,23.22248,84.14586
MPLADS-000070,Solar Street Lighting at Ward-05,Solar Street Lighting,Renewable Energy,DIST-0598,ST-18,PC-0879,CONT-0203,AGENCY-0026,2023-09-15,2023-11-08,2024-01-07,WORK_IN_PROGRESS,28.53939,74.91469
MPLADS-000071,Solar Street Lighting at Ward-54,Solar Street Lighting,Renewable Energy,DIST-0605,ST-18,PC-0891,CONT-0105,AGENCY-0476,2023-06-17,2023-07-30,2023-09-28,WORK_IN_PROGRESS,30.08282,74.72958
MPLADS-000072,Solar Rooftop Panel at Ward-55,Solar Rooftop Panel,Renewable Energy,DIST-0356,ST-09,PC-0517,CONT-0054,AGENCY-1186,2023-11-01,2023-12-18,2024-02-16,WORK_IN_PROGRESS,23.25998,73.64075
MPLADS-000073,Bituminous Road at Ward-46,Bituminous Road,Roads & Bridges,DIST-0599,ST-18,PC-0881,CONT-0284,AGENCY-0575,2023-10-15,2023-12-07,2024-06-04,WORK_IN_PROGRESS,30.46945,75.148
MPLADS-000074,Bituminous Road at Ward-42,Bituminous Road,Roads & Bridges,DIST-0200,ST-05,PC-0288,CONT-0088,AGENCY-0159,2023-02-03,2023-02-27,2023-08-26,WORK_IN_PROGRESS,24.7606,81.32526
MPLADS-000075,Solar High-Mast Light at Ward-49,Solar High-Mast Light,Renewable Energy,DIST-0493,ST-14,PC-0720,CONT-0161,AGENCY-0763,2023-01-29,2023-02-23,2023-04-24,DELAYED,23.76511,84.65685
MPLADS-000076,Community Tank at Ward-39,Community Tank,Drinking Water,DIST-0596,ST-17,PC-0877,CONT-0108,AGENCY-0386,2022-12-09,2023-02-04,2023-05-05,WORK_IN_PROGRESS,21.75202,82.94989
MPLADS-000077,School Additional Classroom at Ward-15,School Additional Classroom,Education Infrastructure,DIST-0494,ST-14,PC-0721,CONT-0038,AGENCY-1104,2022-06-24,2022-07-13,2022-12-10,WORK_IN_PROGRESS,22.13126,84.71662
MPLADS-000078,Solar Rooftop Panel at Ward-69,Solar Rooftop Panel,Renewable Energy,DIST-0237,ST-06,PC-0345,CONT-0155,AGENCY-1048,2023-09-03,2023-09-20,2023-11-19,WORK_IN_PROGRESS,8.25691,77.2513
MPLADS-000079,Lift Irrigation Scheme at Ward-04,Lift Irrigation Scheme,Irrigation & Agriculture,DIST-0592,ST-17,PC-0872,CONT-0263,AGENCY-0866,2022-06-04,2022-07-30,2023-01-06,WORK_IN_PROGRESS,23.53667,81.76604
MPLADS-000080,Primary Health Sub-Centre at Ward-49,Primary Health Sub-Centre,Public Health,DIST-0366,ST-09,PC-0530,CONT-0032,AGENCY-1195,2022-09-17,2022-11-08,2023-06-06,COMPLETED,23.20855,73.36909
MPLADS-000081,RO Water Plant at Ward-81,RO Water Plant,Drinking Water,DIST-0385,ST-10,PC-0556,CONT-0217,AGENCY-0379,2022-07-12,2022-08-15,2022-11-13,WORK_IN_PROGRESS,12.79167,79.41507
MPLADS-000082,Ambulance Vehicle at Ward-33,Ambulance Vehicle,Public Health,DIST-0196,ST-05,PC-0282,CONT-0101,AGENCY-0928,2023-06-06,2023-08-02,2024-02-28,WORK_IN_PROGRESS,24.54208,75.75028
MPLADS-000083,Bituminous Road at Ward-64,Bituminous Road,Roads & Bridges,DIST-0374,ST-09,PC-0541,CONT-0269,AGENCY-0992,2022-01-11,2022-01-30,2022-07-29,WORK_IN_PROGRESS,23.06416,73.11549
MPLADS-000084,Paver Block Road at Ward-85,Paver Block Road,Roads & Bridges,DIST-0538,ST-15,PC-0790,CONT-0077,AGENCY-0829,2022-04-23,2022-05-16,2022-11-12,WORK_IN_PROGRESS,27.63375,93.32023
MPLADS-000085,Primary Health Sub-Centre at Ward-48,Primary Health Sub-Centre,Public Health,DIST-0012,ST-01,PC-0017,CONT-0141,AGENCY-0452,2022-09-03,2022-09-22,2023-04-20,WORK_IN_PROGRESS,30.29941,83.87274
MPLADS-000086,Multi-Village Hospital Block at Ward-96,Multi-Village Hospital Block,Mega Infrastructure,DIST-0554,ST-16,PC-0814,CONT-0259,AGENCY-0995,2022-03-28,2022-05-15,2023-06-19,WORK_IN_PROGRESS,31.28231,74.87661
MPLADS-000087,Crematorium Shed at Ward-04,Crematorium Shed,Community Infrastructure,DIST-0317,ST-08,PC-0464,CONT-0289,AGENCY-0844,2022-05-12,2022-06-19,2022-10-17,WORK_IN_PROGRESS,16.96807,75.90406
MPLADS-000088,Solar Rooftop Panel at Ward-52,Solar Rooftop Panel,Renewable Energy,DIST-0247,ST-06,PC-0359,CONT-0268,AGENCY-0818,2023-03-23,2023-04-11,2023-06-10,WORK_IN_PROGRESS,13.5361,77.97876
MPLADS-000089,Lift Irrigation Scheme at Ward-32,Lift Irrigation Scheme,Irrigation & Agriculture,DIST-0059,ST-01,PC-0087,CONT-0233,AGENCY-0340,2023-03-02,2023-04-06,2023-09-13,WORK_IN_PROGRESS,26.33448,84.24308
MPLADS-000090,Ambulance Vehicle at Ward-41,Ambulance Vehicle,Public Health,DIST-0003,ST-01,PC-0005,CONT-0091,AGENCY-0701,2022-01-14,2022-02-08,2022-09-06,WORK_IN_PROGRESS,28.11325,82.63214
MPLADS-000091,Major River Overbridge at Ward-51,Major River Overbridge,Mega Infrastructure,DIST-0320,ST-08,PC-0469,CONT-0307,AGENCY-0119,2022-10-24,2022-11-11,2023-12-16,COMPLETED,17.95037,74.14714
MPLADS-000092,District Sports Complex at Ward-50,District Sports Complex,Mega Infrastructure,DIST-0191,ST-05,PC-0273,CONT-0215,AGENCY-0956,2022-07-23,2022-09-16,2023-10-21,COMPLETED,24.52096,77.99599
MPLADS-000093,Yatri Shed at Ward-12,Yatri Shed,Community Infrastructure,DIST-0542,ST-16,PC-0794,CONT-0018,AGENCY-1022,2023-10-22,2023-12-05,2024-04-03,WORK_IN_PROGRESS,31.78942,75.78185
MPLADS-000094,Community Tank at Ward-02,Community Tank,Drinking Water,DIST-0515,ST-15,PC-0753,CONT-0034,AGENCY-0849,2023-02-11,2023-02-26,2023-05-27,WORK_IN_PROGRESS,25.79511,92.78363
MPLADS-000095,Library Room at Ward-09,Library Room,Education Infrastructure,DIST-0510,ST-15,PC-0743,CONT-0085,AGENCY-1003,2023-11-04,2024-01-02,2024-05-31,WORK_IN_PROGRESS,24.60954,91.81451
MPLADS-000096,Deep Tube Well at Ward-33,Deep Tube Well,Drinking Water,DIST-0091,ST-02,PC-0132,CONT-0303,AGENCY-0839,2023-05-18,2023-06-04,2023-09-02,WORK_IN_PROGRESS,19.22168,73.54089
MPLADS-000097,Primary Health Sub-Centre at Ward-58,Primary Health Sub-Centre,Public Health,DIST-0337,ST-08,PC-0492,CONT-0072,AGENCY-0019,2022-11-25,2023-01-01,2023-07-30,WORK_IN_PROGRESS,13.73816,75.03708
MPLADS-000098,Solar Street Lighting at Ward-35,Solar Street Lighting,Renewable Energy,DIST-0064,ST-01,PC-0093,CONT-0162,AGENCY-0618,2023-10-30,2023-12-26,2024-02-24,COMPLETED,26.20256,83.33027
MPLADS-000099,Maternity Ward Facility at Ward-37,Maternity Ward Facility,Public Health,DIST-0165,ST-04,PC-0234,CONT-0105,AGENCY-0413,2023-01-24,2023-03-09,2023-10-05,WORK_IN_PROGRESS,26.64681,86.27942
MPLADS-000100,School Additional Classroom at Ward-55,School Additional Classroom,Education Infrastructure,DIST-0467,ST-12,PC-0683,CONT-0072,AGENCY-0068,2022-05-16,2022-07-06,2022-12-03,WORK_IN_PROGRESS,16.06054,77.37607
MPLADS-000101,Primary Health Sub-Centre at Ward-52,Primary Health Sub-Centre,Public Health,DIST-0245,ST-06,PC-0356,CONT-0171,AGENCY-0174,2022-08-12,2022-10-08,2023-05-06,WORK_IN_PROGRESS,11.90182,76.31697
MPLADS-000102,School Additional Classroom at Ward-10,School Additional Classroom,Education Infrastructure,DIST-0377,ST-09,PC-0545,CONT-0113,AGENCY-0296,2023-09-20,2023-10-21,2024-03-19,WORK_IN_PROGRESS,20.13965,73.50358
MPLADS-000103,Multi-Village Hospital Block at Ward-30,Multi-Village Hospital Block,Mega Infrastructure,DIST-0593,ST-17,PC-0873,CONT-0154,AGENCY-0516,2022-01-15,2022-03-15,2023-04-19,WORK_IN_PROGRESS,18.46781,82.78994
MPLADS-000104,Paver Block Road at Ward-37,Paver Block Road,Roads & Bridges,DIST-0431,ST-11,PC-0628,CONT-0156,AGENCY-0333,2022-06-25,2022-08-04,2023-01-31,WORK_IN_PROGRESS,20.90105,83.58995
MPLADS-000105,Deep Tube Well at Ward-44,Deep Tube Well,Drinking Water,DIST-0029,ST-01,PC-0041,CONT-0256,AGENCY-0438,2022-12-23,2023-01-27,2023-04-27,WORK_IN_PROGRESS,26.95342,78.78439
MPLADS-000106,Culvert Bridge at Ward-84,Culvert Bridge,Roads & Bridges,DIST-0578,ST-17,PC-0854,CONT-0118,AGENCY-0585,2022-12-23,2023-02-03,2023-08-02,WORK_IN_PROGRESS,21.91936,83.99341
MPLADS-000107,Solar Street Lighting at Ward-42,Solar Street Lighting,Renewable Energy,DIST-0371,ST-09,PC-0537,CONT-0209,AGENCY-1223,2023-04-22,2023-05-25,2023-07-24,WORK_IN_PROGRESS,20.46843,68.60748
MPLADS-000108,Crematorium Shed at Ward-79,Crematorium Shed,Community Infrastructure,DIST-0326,ST-08,PC-0476,CONT-0117,AGENCY-0440,2022-01-03,2022-02-17,2022-06-17,WORK_IN_PROGRESS,16.38955,78.51039
MPLADS-000109,Smart Classroom Lab at Ward-94,Smart Classroom Lab,Education Infrastructure,DIST-0048,ST-01,PC-0070,CONT-0056,AGENCY-0266,2022-11-16,2023-01-01,2023-05-31,WORK_IN_PROGRESS,27.94378,82.93156
MPLADS-000110,Farm Pond Renovation at Ward-54,Farm Pond Renovation,Irrigation & Agriculture,DIST-0190,ST-05,PC-0270,CONT-0219,AGENCY-0797,2023-06-28,2023-07-14,2023-12-21,WORK_IN_PROGRESS,24.65319,78.45536
MPLADS-000111,Solar Rooftop Panel at Ward-42,Solar Rooftop Panel,Renewable Energy,DIST-0580,ST-17,PC-0857,CONT-0077,AGENCY-1058,2022-12-31,2023-02-26,2023-04-27,WORK_IN_PROGRESS,23.79756,84.17241
MPLADS-000112,Check Dam at Ward-17,Check Dam,Irrigation & Agriculture,DIST-0130,ST-03,PC-0189,CONT-0098,AGENCY-0409,2023-09-16,2023-10-10,2024-03-18,WORK_IN_PROGRESS,26.99121,83.84389
MPLADS-000113,School Additional Classroom at Ward-42,School Additional Classroom,Education Infrastructure,DIST-0546,ST-16,PC-0802,CONT-0242,AGENCY-0913,2023-10-08,2023-11-02,2024-03-31,WORK_IN_PROGRESS,30.93951,74.50987
MPLADS-000114,Library Room at Ward-32,Library Room,Education Infrastructure,DIST-0375,ST-09,PC-0543,CONT-0055,AGENCY-0935,2023-03-09,2023-04-02,2023-08-30,WORK_IN_PROGRESS,21.50903,71.2644
MPLADS-000115,Community Tank at Ward-13,Community Tank,Drinking Water,DIST-0362,ST-09,PC-0524,CONT-0290,AGENCY-0304,2023-03-26,2023-04-17,2023-07-16,WORK_IN_PROGRESS,21.52848,70.11483
